NAME,URL,MAP,ADDRESS,PRICE,TYPE,lat,lng,type
オベリベリ温泉 水光園,http://www.kita-no-sento.com/sento/1109/,https://maps.google.com/?cid=1706358673662833836&hl=ja,北海道帯広市東十条南5-6,¥450,//bus-routes.net/imgs/onsen/onsen8_32@2x.png,42.927217,143.2221932,銭湯
ホテルモントレエーデルホフ札幌 カルロビ・バリ・スパ,https://www.hotelmonterey.co.jp/edelhof/spa/,https://maps.google.com/?cid=15962390469759463657&hl=ja,北海道札幌市中央区北二条西1-1,"¥2,880",//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0640573,141.3551388,温泉
やわらぎの里 豊平峡温泉,https://hoheikyo.co.jp/,https://maps.google.com/?cid=8080891066019240803&hl=ja,北海道札幌市南区定山渓608-2,"¥1,000",//bus-routes.net/imgs/onsen/onsen2_32@2x.png,42.9496261,141.1559015,温泉
ていね温泉 ほのか,https://yudokoro-honoka.jp/teine/,https://maps.google.com/?cid=6555311053788844374&hl=ja,北海道札幌市手稲区富丘二条3-2-1,¥900,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.1049724,141.2527983,温泉
北のたまゆら(桑園店),http://www.e-u.jp/souen_main.html,https://maps.google.com/?cid=4631549592274737072&hl=ja,北海道札幌市中央区北十一条西16-1-34,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0715434,141.3288127,温泉
函館市営 谷地頭温泉,https://www.hakobura.jp/db/db-onsen/2010/07/post-1.html,https://maps.google.com/?cid=17917916976229505735&hl=ja,北海道函館市谷地頭町20-7,¥430,//bus-routes.net/imgs/onsen/onsen1_32@2x.png,41.7517329,140.7142216,温泉
湯の郷 絢ほのか,https://yudokoro-honoka.jp/kiyota/,https://maps.google.com/?cid=12211329936822717493&hl=ja,北海道札幌市清田区清田二条-2-26,¥950,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0029117,141.4323263,温泉
湯元 小金湯,http://koganeyu.jp/,https://maps.google.com/?cid=9102566352754044143&hl=ja,北海道札幌市南区小金湯25,¥800,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,42.9683956,141.2198618,温泉
花園温泉,http://www.kita-no-sento.com/sento/309/,https://maps.google.com/?cid=7532875450765001984&hl=ja,北海道函館市花園町40-34,¥420,//bus-routes.net/imgs/onsen/onsen8_32@2x.png,41.7963831,140.7800137,銭湯
えにわ温泉 ほのか,https://yudokoro-honoka.jp/eniwa/,https://maps.google.com/?cid=3960797705222541011&hl=ja,北海道恵庭市戸磯397-2,¥750,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,42.8771549,141.6068649,温泉
石狩温泉 番屋の湯,https://banya-no-yu.com/,https://maps.google.com/?cid=15072013758732559070&hl=ja,北海道石狩市弁天町51-2,¥650,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.2457062,141.3501124,温泉
むかわ温泉 四季の館,http://www.shikinoyakata.com/spa.html,https://maps.google.com/?cid=7419148141551725607&hl=ja,北海道勇払郡むかわ町美幸3-3-1,¥520,//bus-routes.net/imgs/onsen/onsen1_32@2x.png,42.5741728,141.9251034,温泉
苗場駅前温泉 蔵ノ湯,http://kuranoyu.com/html/,https://maps.google.com/?cid=249600166387745610&hl=ja,北海道札幌市中央区北二条東13-25-1,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.066506,141.3721999,温泉
江別天然温泉 湯の花 江別殿,http://www.yunohana.org/ebetsu/,https://maps.google.com/?cid=10039060536519062188&hl=ja,北海道江別市野幌美幸町33,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0914589,141.5065134,温泉
月見湯,https://ameblo.jp/supersenntoutsukimiyu/,https://maps.google.com/?cid=16930924431809126801&hl=ja,北海道札幌市豊平区月寒東2-11,¥420,//bus-routes.net/imgs/onsen/onsen8_32@2x.png,43.0273589,141.404683,銭湯
しんしのつ温泉 たっぷの湯,http://tappunoyuonsen.com/,https://maps.google.com/?cid=8798033350058191088&hl=ja,北海道石狩郡新篠津村第45線北2,¥500,//bus-routes.net/imgs/onsen/onsen1_32@2x.png,43.2141748,141.6426201,温泉
里の森 天然温泉 森のゆ,http://www.satonomori.com/,https://maps.google.com/?cid=1288850880590381577&hl=ja,北海道北広島市西の里511-1,¥700,//bus-routes.net/imgs/onsen/onsen1_32@2x.png,43.0155836,141.4926514,温泉
天然温泉やすらぎの湯 北のたまゆら(東苗穂店),http://www.e-u.jp/higasi_main.html,https://maps.google.com/?cid=646934586776325269&hl=ja,北海道札幌市東区東苗穂十一条2-896-1,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.1039687,141.4179875,温泉
湯処 花ゆづき,http://www.hanayuzuki.jp/,https://maps.google.com/?cid=14954131393189668855&hl=ja,北海道札幌市西区二十四軒三条1-19,¥670,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0751902,141.314799,温泉
ふとみ銘泉 万葉の湯,https://www.manyo.co.jp/futomi/,https://maps.google.com/?cid=148625987906773184&hl=ja,北海道石狩郡当別町太美町1695,"¥1,000",//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.1882903,141.4448219,温泉
ひがしもこと芝桜公園 芝桜の湯,http://www.shibazakura.net/,https://maps.google.com/?cid=17547680965444575681&hl=ja,北海道網走郡大空町東藻琴末広393,¥440,//bus-routes.net/imgs/onsen/onsen1_32@2x.png,43.7819906,144.312927,温泉
新千歳空港温泉,http://www.new-chitose-airport-onsen.com/,https://maps.google.com/?cid=15784083028547555848&hl=ja,北海道千歳市美々987-22,"¥1,500",//bus-routes.net/imgs/onsen/onsen2_32@2x.png,42.784572,141.678496,温泉
天然温泉 アサヒ湯,,https://maps.google.com/?cid=10126817076417913765&hl=ja,北海道帯広市東三条南14-19,¥450,//bus-routes.net/imgs/onsen/onsen8_32@2x.png,42.9163031,143.2105702,銭湯
森林公園温泉 きよら,http://www.onsen-kiyora.com/,https://maps.google.com/?cid=560159207875846522&hl=ja,北海道札幌市厚別区厚別東四条7-1-1,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0519188,141.4852041,温泉
モエレ天然温泉 たまゆらの杜,https://www.e-u.jp/mori/,https://maps.google.com/?cid=4783265127408960524&hl=ja,北海道札幌市東区中沼西1条1-11-10,¥720,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.1260849,141.415843,温泉
天然温泉やすらぎの湯 北のたまゆら(厚別店),http://www.e-u.jp/atubetu_main.html,https://maps.google.com/?cid=17726786795052801076&hl=ja,北海道札幌市厚別区大谷地東7-990-310,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0283095,141.4610476,温泉
天然温泉 ふみぞの湯,https://fumizonoyu.kushiro.jp/,https://maps.google.com/?cid=13441914487947147496&hl=ja,北海道釧路市文苑2-48-29,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0206276,144.380419,温泉
ピパの湯 ゆ〜りん館,https://yu-rinkan.com/,https://maps.google.com/?cid=275532539657852988&hl=ja,北海道美唄市東明町3区,¥650,//bus-routes.net/imgs/onsen/onsen1_32@2x.png,43.3436492,141.8930737,温泉
湯処 ほのか(北広島店),https://yudokoro-honoka.jp/kitahiro/,https://maps.google.com/?cid=9246351732302040355&hl=ja,北海道北広島市虹ヶ丘1-8-6,¥750,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0180654,141.4898967,温泉
天然温泉やすらぎの湯 北のたまゆら(江別店),http://www.e-u.jp/ebetu_main.html,https://maps.google.com/?cid=4477460628878966270&hl=ja,北海道江別市野幌屯田町48-1,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0939701,141.5109783,温泉
東前温泉 しんわの湯,http://www.shinwanoyu.com/,https://maps.google.com/?cid=3068756807032366184&hl=ja,北海道北斗市東前85-5,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,41.8469499,140.6829206,温泉
北美原温泉,http://www.kita-no-sento.com/sento/326/,https://maps.google.com/?cid=14499189146702809795&hl=ja,北海道函館市北美原1-18-16,¥450,//bus-routes.net/imgs/onsen/onsen8_32@2x.png,41.8279833,140.744155,銭湯
天然温泉 極楽湯(さっぽろ弥生店),http://www.sapporo-gokurakuyu.com/yayoi/,https://maps.google.com/?cid=5375434451807505783&hl=ja,北海道札幌市中央区北三条西12-1,¥450,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0629669,141.3355582,温泉
にしき温泉,http://www.kita-no-sento.com/sento/308/,https://maps.google.com/?cid=14636239158011439635&hl=ja,北海道函館市深堀町13-2,¥450,//bus-routes.net/imgs/onsen/onsen8_32@2x.png,41.7897996,140.7776874,銭湯
温泉銭湯 夢元さぎり湯,http://sagiriyu-noboribetsu.com/index.html,https://maps.google.com/?cid=12429701153977052208&hl=ja,北海道登別市登別温泉町60,¥420,//bus-routes.net/imgs/onsen/onsen1_32@2x.png,42.4926581,141.1428485,温泉
すすきの天然温泉 スパ・サフロ,https://safro.org/,https://maps.google.com/?cid=3444033542141620431&hl=ja,北海道札幌市中央区南六条西5-3-2,"¥2,900",//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0525523,141.3521106,温泉
つきさむ温泉,http://www.tsukisamu.jp/index.html,https://maps.google.com/?cid=17405452547099365758&hl=ja,北海道札幌市豊平区月寒東一条20-189-5,"¥1,300",//bus-routes.net/imgs/onsen/onsen2_32@2x.png,43.0112903,141.4231492,温泉
苫小牧温泉 ほのか,https://yudokoro-honoka.jp/tomakomai/,https://maps.google.com/?cid=14342262763433882321&hl=ja,北海道苫小牧市糸井124-1,¥690,//bus-routes.net/imgs/onsen/onsen2_32@2x.png,42.6146758,141.5276181,温泉
